3710,194,348,148
4032,202,386,146
3380,216,328,112
3126,286,290,208
3424,318,456,200
3854,322,304,174
2510,262,442,210
2912,270,240,188
2240,426,276,172
2836,436,406,170
3450,478,398,166
1878,584,342,178
2246,586,384,200
2598,570,346,220
3018,596,552,192
2126,744,542,188
1924,742,212,202
1558,766,382,180
2670,732,528,212
1312,948,374,182
1688,892,312,220
1984,896,370,214
2298,910,444,196
3112,860,372,218
2718,894,398,192
966,1144,276,216
1230,1150,242,166
1454,1118,266,200
1710,1094,294,216
1994,1102,450,170
2424,1096,340,176
2728,1080,412,178
3120,1058,424,182
2860,1226,444,198
2368,1250,512,192
1708,1310,200,176
1480,1304,270,202
1014,1320,484,220
1272,1520,286,170
1524,1486,310,208
1044,1520,270,198
754,1546,350,200
2286,1448,244,174
2792,1422,290,184
2524,1432,298,202
3068,1410,346,206
720,1794,210,154
894,1748,276,188
1158,1706,284,204
1410,1676,432,182
2184,1638,252,178
1798,1628,398,210
2416,1614,362,190
2762,1590,304,192
2408,1788,442,188
2162,1804,240,202
1462,1850,328,190
1160,1884,294,204
936,1932,236,164
1766,1814,396,214
1080,2080,348,218
1394,2038,284,206
1616,2024,308,230
1878,1996,374,224
2322,1984,310,204
2064,1476,240,144
1826,1494,232,144
2132,1288,236,150
